(86, 0 ,-825)
(93, 0 ,-2311)
(355, 0 ,-1034)
(213, 0 ,-528)
(1684, 0 ,-1562)
(376, 0 ,-594)
(244, 0 ,-1947)
(1264, 0 ,-1980)
(1268, 0 ,-869)
(54, 0 ,-2377)
(374, 0 ,-176)
(297, 0 ,-792)
(247, 0 ,-55)
(61, 0 ,-1716)
(43, 0 ,-1331)
(994, 0 ,-1243)
(1242, 0 ,-363)
(973, 0 ,-1496)
(880, 0 ,-1771)
(1246, 0 ,-1573)
(375, 0 ,-1100)
(32, 0 ,0)
(501, 0 ,-484)
(229, 0 ,-1298)
(1441, 0 ,-1914)
(975, 0 ,-1848)
(591, 0 ,-1650)
(387, 0 ,-1584)
(267, 0 ,-2707)
(55, 0 ,-770)
(246, 0 ,-55)
(1284, 0 ,-1408)
(673, 0 ,-1683)
(359, 0 ,-2586)
(226, 0 ,-726)
(257, 0 ,-1892)
(855, 0 ,-242)
(237, 0 ,-2057)
(1, 0 ,-1375)
(238, 0 ,-2652)
(599, 0 ,-2719)
(1345, 0 ,-308)
(236, 0 ,-1837)
(235, 0 ,-814)
(56, 0 ,-1342)
(86, 0 ,-825)
(57, 0 ,-330)
(269, 0 ,-1430)
(243, 0 ,-1518)
(242, 0 ,-1793)
(682, 0 ,-2267)
(506, 0 ,-2090)
(225, 0 ,-1661)
(385, 0 ,-902)
(53, 0 ,-748)
(599, 0 ,-2729)
(357, 0 ,-561)
(420, 0 ,-2256)
(45, 0 ,-1386)
(253, 0 ,-2101)
(1767, 0 ,-2432)
(1809, 0 ,-1529)
(593, 0 ,-1188)
(20, 0 ,-2201)
(503, 0 ,-1639)
(240, 0 ,-1507)
(291, 0 ,-715)
(372, 0 ,-2410)
(251, 0 ,-2443)
(500, 0 ,-2762)
(298, 0 ,-1111)
(679, 0 ,-1859)
(358, 0 ,-1903)
(33, 0 ,-1012)
(594, 0 ,-2234)
(689, 0 ,-1705)
(241, 0 ,-880)
(220, 0 ,-627)
(995, 0 ,-858)
(49, 0 ,-2509)
(233, 0 ,-2112)
(350, 0 ,-275)
(30, 0 ,-165)
(299, 0 ,-1760)
(1473, 0 ,-2399)
(590, 0 ,-407)
(1671, 0 ,-2366)
(502, 0 ,-935)
(224, 0 ,-2575)
(245, 0 ,-1925)
(592, 0 ,-803)
(509, 0 ,-319)
(504, 0 ,-2156)
(852, 0 ,-2696)
(36, 0 ,-682)
(354, 0 ,-1991)
(91, 0 ,-1694)
(62, 0 ,-1958)
(98, 0 ,-2013)
(964, 0 ,-649)
(353, 0 ,-1969)
(972, 0 ,-341)
(39, 0 ,-143)
(1876, 0 ,-1727)
(81, 0 ,-429)
(962, 0 ,-1463)
(7, 0 ,-1210)
(254, 0 ,-2630)
(686, 0 ,-374)
(965, 0 ,-2487)
(996, 0 ,-1617)
(856, 0 ,-451)
(371, 0 ,-1936)
(961, 0 ,-1254)
(266, 0 ,-2190)
(231, 0 ,-2068)
(218, 0 ,-132)
(423, 0 ,-979)
(370, 0 ,-1122)
(352, 0 ,-1474)
(853, 0 ,-2597)
(389, 0 ,-1353)
(261, 0 ,-1287)
(265, 0 ,-2145)
(60, 0 ,-1870)
(960, 0 ,-616)
(223, 0 ,-2520)
(356, 0 ,-1551)
(692, 0 ,-1144)
(596, 0 ,-198)
(222, 0 ,-253)
(230, 0 ,-2179)
(52, 0 ,-2024)
(691, 0 ,-1738)
(373, 0 ,-2685)
(377, 0 ,-913)
(976, 0 ,-2553)
(382, 0 ,-2167)
(1664, 0 ,-583)
(212, 0 ,-2333)
(258, 0 ,-638)
(95, 0 ,-11)
(264, 0 ,-1881)
(674, 0 ,-1749)
(977, 0 ,-110)
(31, 0 ,-1441)
(687, 0 ,-1276)
(64, 0 ,-1540)
(505, 0 ,-154)
(227, 0 ,-550)
(234, 0 ,-2476)
(683, 0 ,-2079)
(6723, 0 ,-209)
(1, 0 ,-704)
(850, 0 ,-1804)
(47, 0 ,-836)
(968, 0 ,-2454)
(92, 0 ,-2035)
(680, 0 ,-231)
(970, 0 ,-1199)
(507, 0 ,-847)
(675, 0 ,-1485)
(595, 0 ,-2344)
(51, 0 ,-946)
(63, 0 ,-1815)
(48, 0 ,-1177)
(351, 0 ,-517)
(1787, 0 ,-473)
(974, 0 ,-462)
(262, 0 ,-264)
(40, 0 ,-671)
(7, 0 ,-660)
(250, 0 ,-2674)
(590, 0 ,-1012)
(290, 0 ,-495)
(1869, 0 ,-99)
(1758, 0 ,-1397)
(590, 0 ,-55)
(508, 0 ,-1078)
(1784, 0 ,-2619)
(685, 0 ,-2300)
(378, 0 ,-2123)
(239, 0 ,-2388)
(966, 0 ,-33)
(221, 0 ,-2134)
(381, 0 ,-2465)
(248, 0 ,-1045)
(232, 0 ,-737)
(65, 0 ,-22)
(1721, 0 ,-2773)
(421, 0 ,-2212)
(386, 0 ,-1221)
(677, 0 ,-1067)
(252, 0 ,-1364)
(27, 0 ,-2355)
(82, 0 ,-2245)
(211, 0 ,-2741)
(34, 0 ,-1155)
(94, 0 ,-2641)
(249, 0 ,-352)
(597, 0 ,-2663)
(268, 0 ,-2278)
(46, 0 ,-385)
(41, 0 ,-1320)
(963, 0 ,-1826)
(886, 0 ,-506)
(992, 0 ,-187)
(255, 0 ,-2289)
(66, 0 ,-957)
(670, 0 ,-2784)
(228, 0 ,-605)
(690, 0 ,-2751)
(676, 0 ,-1089)
(1868, 0 ,-440)
(216, 0 ,-539)
(90, 0 ,-1606)
(993, 0 ,-2542)
(1649, 0 ,-1309)
(688, 0 ,-286)
(1340, 0 ,-1782)
(256, 0 ,-1166)
(380, 0 ,-2002)
(971, 0 ,-2223)
(44, 0 ,-55)
(1, 0 ,-44)
(598, 0 ,-2608)
(998, 0 ,-1001)
(678, 0 ,-1265)
(379, 0 ,-2322)
